run,n_shots,seed,ROC_AUC,PR_AUC,balanced_acc,benign_f1,ranking_score,ECE,"corridor_[0.4,0.6]",gap_means,threshold,F1,over_refusal,recall,scoring,verdict
10shot_seed42,10,42,0.3604988095238096,0.880994463272886,0.3744761904761905,0.03815937149270483,0.3604988095238095,0.3729799612152555,0.8028809523809524,-0.05860544217687058,0.5,0.7571550014168321,0.919047619047619,0.668,knn,ИНВЕРТИРОВАН
10shot_seed123,10,123,0.6197047619047619,0.9352824172256973,0.5020119047619048,0.017937219730941707,0.6197047619047619,0.02758175096900208,0.0,0.009352228007855845,0.5,0.7306634056863345,0.3619047619047619,0.5975,knn,СЛАБО РАНЖИРУЕТ
10shot_seed456,10,456,0.7962428571428573,0.968498124717958,0.6950357142857142,0.29423076923076924,0.7962428571428571,0.35446440944129415,0.7991071428571428,0.09614915945913144,0.5,0.7828402366863906,0.2714285714285714,0.6615,knn,РАНЖИРУЕТ ВЕРНО
20shot_seed42,20,42,0.7176238095238094,0.9582119898442394,0.49925,0.0,0.7176238095238096,0.029770952517090866,0.0,0.007774856492877014,0.5,0.8670520231213873,0.7428571428571429,0.825,knn,РАНЖИРУЕТ ВЕРНО
20shot_seed123,20,123,0.6536357142857142,0.9412721111624347,0.5185595238095239,0.08298755186721991,0.6536357142857143,0.03151437688736896,0.0,0.040774859261654695,0.5,0.7497005988023954,0.41904761904761906,0.626,knn,РАНЖИРУЕТ ВЕРНО
20shot_seed456,20,456,0.7056190476190476,0.9539060514967614,0.6493095238095239,0.260536398467433,0.7056190476190476,0.3354316050912666,0.2821071428571429,0.15328575482648998,0.5,0.7713270142180095,0.3523809523809524,0.651,linear,РАНЖИРУЕТ ВЕРНО
50shot_seed42,50,42,0.6082714285714286,0.9351266951633534,0.5685,0.20487804878048782,0.6082714285714286,0.3799416720278891,0.9736071428571429,0.017702751353666835,0.5,0.8188888888888889,0.6,0.737,linear,СЛАБО РАНЖИРУЕТ
50shot_seed123,50,123,0.5690571428571429,0.9277946070012695,0.5289047619047619,0.1679012345679012,0.5690571428571428,0.33373534371005187,0.5292142857142856,0.026748891572235922,0.5,0.8132963988919668,0.6761904761904762,0.734,knn,СЛАБО РАНЖИРУЕТ
50shot_seed456,50,456,0.6730452380952381,0.947137659035488,0.6077738095238095,0.21648835745752046,0.6730452380952381,0.4521203254098946,0.3587619047619047,0.09278324075167327,0.5,0.5602260685270223,0.18095238095238095,0.3965,linear,РАНЖИРУЕТ ВЕРНО
